Sex,Length,Diameter,Height,Whole,Shucked,Viscera,Shell,Rings,Maturity_Level,Random_Index,Biological_Variation
I,0.25,0.18,0.065,0.0685,0.0245,0.0155,0.0225,5,mature,9,0.56187
I,0.265,0.195,0.055,0.084,0.0365,0.0175,0.025,7,mature,38,0.21254
I,0.275,0.195,0.065,0.106,0.054,0.02,0.028,6,mature,46,0.07108
I,0.28,0.21,0.085,0.1075,0.0415,0.024,0.034,5,mature,25,-1.97168
I,0.285,0.22,0.065,0.096,0.0405,0.0205,0.03,5,mature,49,0.73711
I,0.3,0.22,0.08,0.1255,0.055,0.0265,0.039,6,mature,28,0.34451
I,0.315,0.235,0.055,0.151,0.065,0.027,0.039,6,mature,96,1.2894
I,0.32,0.225,0.085,0.1415,0.0675,0.0295,0.0405,6,mature,19,-0.28932
I,0.34,0.265,0.08,0.2015,0.09,0.0475,0.055,5,mature,76,-1.3245
I,0.37,0.28,0.1,0.221,0.1165,0.0265,0.0635,6,mature,74,-0.01522
I,0.375,0.28,0.08,0.2345,0.1125,0.0455,0.067,6,mature,46,-0.28256
I,0.375,0.275,0.1,0.2325,0.1165,0.042,0.065,6,mature,37,0.12933
I,0.385,0.29,0.08,0.2485,0.122,0.0495,0.065,7,mature,82,0.09351
I,0.4,0.32,0.095,0.348,0.194,0.053,0.087,6,mature,1,1.28699
I,0.405,0.3,0.11,0.32,0.172,0.044,0.093,7,mature,84,-0.16795
I,0.41,0.3,0.1,0.282,0.1255,0.057,0.0875,7,mature,75,0.3086
I,0.41,0.325,0.1,0.3245,0.132,0.072,0.106,6,mature,21,1.1936
I,0.42,0.3,0.105,0.316,0.1255,0.07,0.1035,7,mature,90,-0.38451
I,0.42,0.32,0.11,0.3625,0.174,0.0635,0.105,7,mature,52,0.6848
I,0.42,0.31,0.095,0.279,0.1255,0.051,0.088,6,mature,41,0.74439
I,0.425,0.325,0.115,0.3685,0.162,0.0865,0.1045,7,mature,76,0.26279
M,0.43,0.335,0.12,0.397,0.1985,0.0865,0.1035,7,mature,90,-1.81654
I,0.435,0.33,0.11,0.413,0.2055,0.096,0.096,6,mature,56,-0.64005
I,0.435,0.345,0.115,0.418,0.222,0.0735,0.106,7,mature,30,-0.08614
I,0.44,0.33,0.11,0.3705,0.1545,0.084,0.12,7,mature,28,-0.03495
I,0.445,0.345,0.105,0.409,0.1675,0.1015,0.117,7,mature,75,0.68917
I,0.445,0.34,0.145,0.434,0.1945,0.0905,0.13,7,mature,11,0.98736
I,0.445,0.335,0.11,0.411,0.1985,0.0935,0.109,8,mature,22,-0.89118
I,0.45,0.365,0.125,0.462,0.2135,0.0985,0.1315,8,mature,99,0.09035
I,0.45,0.34,0.12,0.4925,0.241,0.1075,0.12,6,mature,95,0.37267
I,0.45,0.33,0.105,0.3715,0.1865,0.0785,0.0975,7,mature,9,-0.63684
I,0.45,0.33,0.1,0.411,0.1945,0.1,0.098,6,mature,55,-0.32994
I,0.45,0.33,0.11,0.3685,0.16,0.0885,0.102,6,mature,96,1.41046
I,0.46,0.35,0.115,0.4155,0.18,0.098,0.1175,7,mature,28,-0.79102
M,0.47,0.36,0.105,0.544,0.27,0.1395,0.129,7,mature,55,0.00044
I,0.52282,0.38,0.13925,0.82543,0.211,0.1075,0.142,6,mature,33,-0.97593
I,0.475,0.35,0.11,0.4565,0.206,0.099,0.13,6,mature,66,0.78628
I,0.475,0.35,0.1,0.4545,0.2165,0.111,0.115,7,mature,21,-0.59029
I,0.48,0.38,0.125,0.6245,0.3395,0.1085,0.1665,8,mature,5,1.21475
M,0.49,0.465,0.125,0.5225,0.235,0.13,0.141,7,mature,2,0.48022
I,0.5,0.375,0.14,0.5495,0.248,0.112,0.1585,7,mature,42,0.90688
I,0.5,0.375,0.12,0.542,0.215,0.116,0.17,9,mature,10,-1.22779
I,0.5,0.38,0.125,0.519,0.2485,0.1135,0.134,8,mature,90,0.86912
M,0.5,0.39,0.125,0.5215,0.2485,0.117,0.131,6,mature,33,-1.06912
F,0.505,0.39,0.125,0.5445,0.246,0.15,0.1405,7,mature,64,0.03803
I,0.51,0.405,0.125,0.6795,0.3465,0.1395,0.182,8,mature,56,-0.68265
F,0.51,0.4,0.125,0.545,0.261,0.115,0.1385,6,mature,28,-2.19334
I,0.51,0.4,0.125,0.5575,0.2615,0.1195,0.1525,9,mature,20,1.04103
I,0.51,0.38,0.115,0.5155,0.215,0.1135,0.166,8,mature,37,-0.50678
I,0.515,0.385,0.125,0.6115,0.3175,0.1265,0.15,8,mature,49,0.24848
M,0.52,0.4,0.145,0.7765,0.3525,0.1845,0.185,9,mature,91,0.17923
I,0.52,0.38,0.135,0.5395,0.2295,0.133,0.157,8,mature,69,-0.32881
I,0.52,0.38,0.125,0.5545,0.288,0.1295,0.167,8,mature,78,0.3633
F,0.52,0.46,0.15,1.019,0.523,0.1985,0.254,7,mature,46,-1.11295
I,0.525,0.4,0.13,0.6455,0.325,0.1245,0.17,8,mature,72,-0.48403
I,0.52282,0.4,0.13925,0.82543,0.2625,0.1285,0.1835,9,mature,41,1.82181
M,0.525,0.405,0.12,0.7555,0.3755,0.1555,0.201,9,mature,54,1.65394
I,0.525,0.395,0.12,0.608,0.297,0.1395,0.1405,8,mature,38,0.63311
I,0.52282,0.4,0.13925,0.82543,0.279,0.127,0.19,8,mature,69,-0.20847
I,0.535,0.39,0.125,0.599,0.2595,0.149,0.169,9,mature,65,-0.06341
I,0.54,0.42,0.14,0.6665,0.3125,0.138,0.1895,10,mature,59,0.8564
M,0.545,0.39,0.135,0.7835,0.4225,0.1815,0.156,7,mature,95,-0.205
M,0.545,0.41,0.12,0.793,0.434,0.1405,0.19,9,mature,78,-1.39219
M,0.545,0.415,0.14,0.82,0.4615,0.127,0.218,9,mature,88,0.24971
F,0.55,0.415,0.135,0.8145,0.427,0.1855,0.175,8,mature,72,-2.22969
F,0.55,0.43,0.15,0.84,0.395,0.195,0.223,8,mature,52,0.85685
M,0.55,0.425,0.15,0.8315,0.411,0.1765,0.2165,10,mature,33,0.10832
M,0.56,0.43,0.145,0.8995,0.464,0.1775,0.234,9,mature,32,-1.66294
M,0.56,0.445,0.16,0.8965,0.42,0.2175,0.2215,8,mature,58,-0.1735
F,0.56,0.44,0.155,0.6405,0.336,0.1765,0.245,8,mature,78,-1.87064
M,0.56,0.415,0.145,0.852,0.43,0.1885,0.205,8,mature,84,1.19448
M,0.565,0.455,0.15,0.9595,0.4565,0.2395,0.23,9,mature,66,0.96598
M,0.565,0.435,0.15,0.99,0.5795,0.1825,0.206,8,mature,40,0.01299
F,0.565,0.45,0.175,1.0095,0.447,0.2375,0.2645,9,mature,82,1.73876
M,0.57,0.46,0.15,1.0375,0.5415,0.2035,0.25,9,mature,93,-1.36293
F,0.57,0.445,0.145,0.8775,0.412,0.217,0.22,8,mature,15,-0.9562
I,0.57,0.44,0.15,0.755,0.3425,0.16,0.224,8,mature,23,0.48789
F,0.575,0.46,0.145,0.9945,0.466,0.229,0.265,7,mature,41,0.43616
F,0.575,0.45,0.16,1.068,0.556,0.214,0.2575,10,mature,5,-0.54101
M,0.575,0.435,0.14,0.8455,0.401,0.191,0.222,9,mature,32,0.84268
F,0.575,0.47,0.165,0.869,0.435,0.197,0.238,9,mature,90,-0.18966
M,0.575,0.455,0.135,0.907,0.4245,0.197,0.26,9,mature,62,-0.03861
I,0.575,0.435,0.13,0.805,0.3155,0.2155,0.245,10,mature,71,-0.35747
M,0.575,0.445,0.17,1.0225,0.549,0.2175,0.228,9,mature,63,0.04361
M,0.575,0.445,0.145,0.847,0.415,0.1945,0.22,9,mature,87,-0.66178
M,0.58,0.455,0.15,1.114,0.4765,0.2155,0.265,8,mature,96,1.17847
M,0.58,0.455,0.195,1.859,0.945,0.426,0.441,9,mature,35,-0.47847
M,0.58,0.445,0.135,0.814,0.3775,0.1915,0.22,9,mature,5,2.24964
M,0.58,0.45,0.14,0.9615,0.486,0.1815,0.253,9,mature,52,-0.31478
M,0.58,0.45,0.145,1.0025,0.547,0.1975,0.2295,8,mature,17,-0.55284
F,0.52282,0.45,0.13925,0.82543,0.385,0.246,0.265,9,mature,51,-0.51335
M,0.585,0.46,0.145,0.9335,0.478,0.1825,0.235,9,mature,81,-1.76909
M,0.585,0.465,0.16,0.9555,0.4595,0.236,0.265,7,mature,45,1.01743
M,0.59,0.47,0.15,0.9955,0.481,0.232,0.24,8,mature,13,1.30441
F,0.6,0.475,0.16,1.0265,0.485,0.2495,0.2565,9,mature,50,0.74365
M,0.6,0.455,0.17,1.1915,0.696,0.2395,0.24,8,mature,92,1.47949
F,0.6,0.465,0.15,1.1025,0.5455,0.262,0.25,8,mature,82,1.59601
M,0.6,0.465,0.155,1.0165,0.512,0.2465,0.225,10,mature,2,0.64886
F,0.605,0.47,0.165,1.1775,0.611,0.2275,0.292,9,mature,77,1.03997
M,0.605,0.475,0.14,1.1175,0.555,0.257,0.274,9,mature,39,-0.8747
M,0.605,0.48,0.17,1.1835,0.582,0.2365,0.317,10,mature,68,0.54143
F,0.605,0.475,0.165,1.056,0.433,0.2195,0.357,9,mature,24,-1.70356
M,0.61,0.485,0.16,1.0145,0.5315,0.212,0.2415,8,mature,26,1.7726
M,0.61,0.485,0.145,1.3305,0.783,0.2255,0.2865,9,mature,11,-0.12324
M,0.61,0.47,0.165,1.052,0.498,0.242,0.267,9,mature,27,-0.29808
M,0.615,0.46,0.17,1.0565,0.4815,0.272,0.27,10,mature,89,-0.77504
F,0.615,0.465,0.15,0.923,0.4615,0.1825,0.2415,9,mature,24,-1.41183
F,0.615,0.475,0.155,1.027,0.447,0.25,0.285,9,mature,64,0.2407
M,0.62,0.47,0.135,1.0195,0.5315,0.2005,0.2475,8,mature,30,-0.97592
M,0.62,0.45,0.2,0.858,0.4285,0.1525,0.2405,8,mature,33,0.78339
F,0.62,0.48,0.16,1.1125,0.5635,0.2445,0.281,8,mature,98,-2.00644
F,0.52282,0.485,0.13925,0.82543,0.7335,0.2715,0.332,9,mature,25,1.13643
M,0.625,0.48,0.185,1.2065,0.587,0.29,0.286,8,mature,22,-1.35114
M,0.63,0.47,0.155,1.1325,0.589,0.211,0.287,8,mature,93,0.01077
M,0.63,0.5,0.175,1.2645,0.5635,0.3065,0.3425,10,mature,32,2.49374
M,0.64,0.515,0.165,1.369,0.632,0.3415,0.358,10,mature,41,-0.85356
M,0.52282,0.53,0.13925,0.82543,0.6465,0.2945,0.3735,10,mature,67,-0.27581
F,0.645,0.48,0.17,1.1345,0.528,0.254,0.305,10,mature,11,1.52233
F,0.65,0.5,0.19,1.464,0.6415,0.339,0.4245,9,mature,20,0.08903
M,0.65,0.5,0.155,1.202,0.565,0.3135,0.294,11,aged,79,0.49212
M,0.655,0.515,0.16,1.31,0.553,0.369,0.345,11,aged,73,2.02783
F,0.655,0.51,0.175,1.415,0.5885,0.3725,0.364,10,mature,67,-1.44084
F,0.66,0.53,0.185,1.346,0.546,0.2705,0.476,11,aged,55,0.23769
M,0.665,0.525,0.16,1.363,0.629,0.279,0.34,8,mature,97,0.43697
I,0.665,0.5,0.17,1.2975,0.6035,0.291,0.3595,9,mature,16,1.81035
F,0.67,0.505,0.205,1.3645,0.6075,0.3025,0.353,9,mature,33,0.05759
F,0.685,0.54,0.215,1.7025,0.664,0.3655,0.4735,14,aged,52,-1.57791
M,0.685,0.52,0.165,1.519,0.699,0.3685,0.4,10,mature,1,0.53773
F,0.69,0.54,0.155,1.454,0.624,0.3105,0.39,9,mature,73,-1.19948
M,0.69,0.53,0.21,1.583,0.7355,0.405,0.3865,12,aged,57,1.10596
F,0.69,0.53,0.17,1.5535,0.7945,0.3485,0.3695,9,mature,63,0.37004
M,0.695,0.56,0.185,1.74,0.885,0.3715,0.4375,10,mature,55,-0.37233
M,0.7,0.565,0.18,1.751,0.895,0.3355,0.446,9,mature,28,0.2847
F,0.7,0.525,0.19,1.6465,0.8545,0.307,0.3995,9,mature,46,-1.05634
F,0.705,0.55,0.17,1.219,0.6395,0.236,0.301,9,mature,75,-0.30116
F,0.71,0.56,0.18,1.652,0.735,0.381,0.4525,11,aged,77,1.43761
M,0.715,0.535,0.19,1.6755,0.889,0.313,0.42,10,mature,97,-1.83839
F,0.72,0.55,0.2,1.9965,0.9035,0.469,0.5215,10,mature,18,0.90735
M,0.72,0.565,0.145,1.187,0.691,0.1945,0.2685,8,mature,24,-0.87295
F,0.73,0.575,0.185,1.8795,0.931,0.38,0.4825,12,aged,24,-0.20935
M,0.745,0.565,0.215,1.931,0.896,0.4585,0.5,11,aged,82,0.97178
M,0.755,0.58,0.205,2.0065,0.8295,0.4015,0.595,10,mature,62,-0.37424
I,0.245,0.205,0.06,0.0765,0.034,0.014,0.0215,4,young,11,0.75084
I,0.25,0.185,0.065,0.0685,0.0295,0.014,0.0225,5,mature,2,-0.24278
I,0.52282,0.19,0.13925,0.82543,0.039,0.015,0.025,5,mature,62,1.74866
I,0.275,0.195,0.09,0.1125,0.0545,0.0295,0.0355,6,mature,82,-0.53706
I,0.305,0.215,0.065,0.1075,0.044,0.0205,0.038,5,mature,24,0.08622
I,0.31,0.225,0.07,0.1055,0.435,0.015,0.04,5,mature,21,-0.14121
I,0.315,0.23,0.08,0.1375,0.0545,0.031,0.0445,5,mature,19,-0.21407
I,0.315,0.23,0.07,0.1145,0.046,0.0235,0.0385,5,mature,19,-1.22124
I,0.325,0.225,0.075,0.139,0.0565,0.032,0.09,6,mature,11,2.33589
I,0.33,0.25,0.095,0.2085,0.102,0.0395,0.052,7,mature,86,-0.12888
I,0.33,0.205,0.095,0.1595,0.077,0.032,0.0435,5,mature,17,0.74039
I,0.52282,0.245,0.13925,0.82543,0.096,0.0405,0.048,7,mature,26,-0.20288
I,0.34,0.25,0.09,0.179,0.0775,0.033,0.055,6,mature,49,0.45229
I,0.345,0.255,0.095,0.1945,0.0925,0.037,0.055,6,mature,92,-2.09977
I,0.345,0.255,0.085,0.2005,0.105,0.037,0.05,5,mature,27,-0.98494
I,0.35,0.27,0.075,0.215,0.1,0.036,0.065,6,mature,28,0.40508
I,0.35,0.255,0.09,0.1785,0.0855,0.0305,0.0525,8,mature,45,-0.34535
I,0.36,0.27,0.085,0.196,0.0875,0.035,0.064,4,young,44,-0.36097
I,0.365,0.27,0.085,0.1875,0.081,0.042,0.058,6,mature,44,0.83007
I,0.365,0.27,0.085,0.196,0.0825,0.0375,0.06,7,mature,23,-0.35364
I,0.365,0.265,0.085,0.213,0.0945,0.049,0.06,7,mature,78,1.3212
I,0.37,0.29,0.09,0.2445,0.089,0.0655,0.075,7,mature,73,2.17924
I,0.37,0.28,0.085,0.217,0.1095,0.035,0.062,6,mature,86,-0.97067
I,0.375,0.29,0.095,0.213,0.096,0.041,0.061,5,mature,31,-1.66828
I,0.52282,0.29,0.13925,0.82543,0.118,0.045,0.0695,7,mature,1,0.25339
I,0.375,0.275,0.09,0.218,0.093,0.0405,0.0755,6,mature,23,-1.3464
I,0.375,0.275,0.095,0.2465,0.11,0.0415,0.0775,6,mature,13,-0.40323
I,0.375,0.28,0.08,0.2025,0.0825,0.048,0.065,8,mature,17,0.9656
I,0.375,0.27,0.085,0.218,0.0945,0.039,0.07,7,mature,26,-1.71424
I,0.38,0.275,0.11,0.256,0.11,0.0535,0.0755,6,mature,39,-0.06567
I,0.38,0.27,0.08,0.2105,0.0865,0.042,0.07,8,mature,44,-1.80545
I,0.385,0.29,0.09,0.2615,0.111,0.0595,0.0745,9,mature,27,0.76089
I,0.385,0.28,0.085,0.2175,0.097,0.038,0.067,8,mature,44,-1.81353
I,0.385,0.3,0.095,0.302,0.152,0.0615,0.0735,7,mature,18,-0.48123
I,0.385,0.28,0.09,0.228,0.1025,0.042,0.0655,5,mature,61,0.64202
I,0.39,0.3,0.095,0.3265,0.1665,0.0575,0.089,7,mature,36,0.55639
I,0.395,0.305,0.105,0.284,0.1135,0.0595,0.0945,8,mature,11,-0.11951
I,0.395,0.295,0.095,0.2725,0.115,0.0625,0.085,8,mature,3,-0.44792
I,0.395,0.27,0.1,0.2985,0.1445,0.061,0.082,5,mature,41,0.24426
I,0.4,0.29,0.1,0.2675,0.1205,0.0605,0.0765,5,mature,9,1.58112
I,0.405,0.285,0.09,0.2645,0.1265,0.0505,0.075,6,mature,49,-0.58451
I,0.41,0.335,0.11,0.33,0.157,0.0705,0.17,7,mature,58,-0.32302
I,0.42,0.305,0.09,0.328,0.168,0.0615,0.082,6,mature,98,0.46694
I,0.425,0.325,0.11,0.3335,0.173,0.045,0.1,7,mature,31,-0.41627
I,0.425,0.32,0.1,0.3055,0.126,0.06,0.106,7,mature,17,0.52495
I,0.425,0.31,0.09,0.301,0.1385,0.065,0.08,7,mature,56,-0.57903
I,0.52282,0.315,0.13925,0.82543,0.175,0.08,0.1045,8,mature,30,-0.83593
I,0.435,0.315,0.11,0.3685,0.1615,0.0715,0.12,7,mature,83,-1.12077
I,0.44,0.34,0.12,0.438,0.2115,0.083,0.12,9,mature,97,1.98287
I,0.45,0.33,0.105,0.448,0.208,0.089,0.12,9,mature,55,-0.75708
I,0.455,0.345,0.105,0.4005,0.164,0.0755,0.126,8,mature,97,-0.20352
F,0.455,0.365,0.115,0.4305,0.184,0.108,0.1245,8,mature,83,-0.06397
I,0.455,0.33,0.1,0.372,0.358,0.0775,0.11,8,mature,22,0.59135
I,0.46,0.36,0.105,0.466,0.2225,0.099,0.11,7,mature,15,-0.27049
I,0.46,0.35,0.105,0.3705,0.1575,0.077,0.114,9,mature,4,0.89409
F,0.46,0.365,0.125,0.4785,0.206,0.1045,0.141,8,mature,89,-0.17131
I,0.47,0.365,0.1,0.411,0.175,0.0855,0.135,8,mature,51,-0.56401
I,0.47,0.355,0.18,0.48,0.2055,0.105,0.1505,8,mature,79,-0.74888
I,0.47,0.355,0.12,0.393,0.167,0.0885,0.115,8,mature,5,0.61182
I,0.475,0.355,0.1,0.5035,0.2535,0.091,0.14,8,mature,66,0.99748
I,0.475,0.38,0.12,0.441,0.1785,0.0885,0.1505,8,mature,65,0.5913
I,0.475,0.36,0.11,0.492,0.211,0.11,0.15,8,mature,34,1.77991
I,0.48,0.37,0.125,0.5435,0.244,0.101,0.165,9,mature,34,0.30456
I,0.48,0.355,0.115,0.4725,0.2065,0.112,0.132,8,mature,37,0.4541
I,0.48,0.365,0.1,0.461,0.2205,0.0835,0.135,8,mature,15,-1.20618
I,0.495,0.355,0.12,0.4965,0.214,0.1045,0.1495,8,mature,43,1.70646
I,0.495,0.38,0.13,0.5125,0.2185,0.116,0.16,7,mature,6,0.44708
M,0.495,0.395,0.12,0.553,0.224,0.1375,0.167,8,mature,41,1.30374
I,0.52282,0.38,0.13925,0.82543,0.2945,0.104,0.1565,9,mature,39,1.85314
M,0.5,0.42,0.135,0.6765,0.302,0.1415,0.2065,9,mature,51,-0.22619
I,0.5,0.375,0.145,0.5795,0.239,0.1375,0.185,9,mature,76,0.26784
I,0.5,0.41,0.14,0.6615,0.2585,0.1625,0.196,9,mature,67,1.30096
I,0.5,0.375,0.125,0.5695,0.259,0.124,0.157,7,mature,29,-0.41103
I,0.5,0.395,0.14,0.6215,0.2925,0.1205,0.195,9,mature,34,1.35035
I,0.505,0.405,0.13,0.6015,0.3015,0.11,0.18,8,mature,60,-1.32428
I,0.505,0.38,0.12,0.594,0.2595,0.1435,0.18,7,mature,63,1.06579
I,0.505,0.395,0.105,0.551,0.248,0.103,0.171,8,mature,79,-0.47507
I,0.515,0.38,0.12,0.625,0.3265,0.1295,0.16,7,mature,47,-1.42934
I,0.515,0.42,0.135,0.711,0.337,0.144,0.205,13,aged,97,-0.12736
I,0.52282,0.4,0.13925,0.82543,0.32,0.1255,0.175,9,mature,94,-0.53228
I,0.52,0.4,0.13,0.5825,0.233,0.1365,0.18,10,mature,22,-0.21286
I,0.52,0.395,0.125,0.663,0.3005,0.131,0.1905,9,mature,77,-2.00398
I,0.525,0.4,0.125,0.6965,0.369,0.1385,0.164,9,mature,26,0.12502
M,0.525,0.42,0.155,0.842,0.428,0.1415,0.2045,9,mature,83,2.10232
I,0.53,0.415,0.13,0.694,0.3905,0.111,0.167,9,mature,19,0.05689
I,0.53,0.42,0.155,0.81,0.4725,0.111,0.192,10,mature,9,-0.61678
I,0.53,0.415,0.11,0.5745,0.2525,0.1235,0.189,9,mature,5,0.83972
I,0.53,0.425,0.13,0.7675,0.419,0.1205,0.21,9,mature,94,0.50256
I,0.535,0.4,0.135,0.6025,0.2895,0.121,0.154,9,mature,47,-0.0111
I,0.535,0.415,0.15,0.5765,0.3595,0.135,0.225,8,mature,27,0.1276
F,0.535,0.41,0.13,0.7145,0.335,0.144,0.2075,9,mature,5,-0.57435
M,0.535,0.435,0.15,0.717,0.3475,0.1445,0.194,9,mature,71,-0.28622
F,0.54,0.42,0.145,0.8655,0.4315,0.163,0.2175,10,mature,69,1.04912
I,0.54,0.42,0.14,0.7265,0.3205,0.1445,0.229,9,mature,67,0.50952
I,0.545,0.435,0.135,0.7715,0.372,0.148,0.227,8,mature,60,0.51774
F,0.545,0.445,0.15,0.8,0.3535,0.163,0.207,9,mature,73,-0.19289
I,0.52282,0.43,0.13925,0.82543,0.302,0.1315,0.2545,10,mature,96,1.39332
I,0.545,0.405,0.135,0.5945,0.27,0.1185,0.185,8,mature,37,2.62533
I,0.55,0.43,0.145,0.7895,0.3745,0.171,0.223,11,aged,77,0.29213
F,0.55,0.405,0.125,0.651,0.2965,0.137,0.2,9,mature,83,0.94399
M,0.52282,0.43,0.13925,0.82543,0.413,0.1905,0.248,9,mature,53,0.61611
I,0.55,0.435,0.14,0.7535,0.3285,0.1555,0.2325,10,mature,82,0.13807
I,0.55,0.425,0.135,0.7305,0.3325,0.1545,0.215,9,mature,3,0.34151
M,0.555,0.44,0.14,0.8705,0.407,0.156,0.255,9,mature,77,0.6266
I,0.555,0.43,0.155,0.7395,0.3135,0.1435,0.28,10,mature,47,-0.51089
I,0.555,0.43,0.14,0.7665,0.341,0.165,0.23,9,mature,74,0.64725
I,0.555,0.425,0.145,0.7905,0.3485,0.1765,0.225,9,mature,44,0.7955
I,0.56,0.425,0.135,0.8205,0.3715,0.185,0.236,9,mature,15,0.33077
I,0.56,0.425,0.145,0.688,0.3095,0.1305,0.2165,9,mature,94,-0.595
F,0.56,0.445,0.155,1.224,0.5565,0.3225,0.2695,10,mature,86,1.60577
I,0.56,0.455,0.145,0.974,0.547,0.1615,0.235,9,mature,56,1.09605
I,0.565,0.44,0.175,0.8735,0.414,0.21,0.21,11,aged,18,1.46641
F,0.565,0.45,0.145,0.8495,0.4215,0.1685,0.225,8,mature,64,2.61325
M,0.565,0.445,0.15,0.796,0.3635,0.184,0.219,8,mature,68,0.73711
M,0.565,0.39,0.125,0.744,0.352,0.13,0.1685,11,aged,89,-0.50385
I,0.57,0.45,0.145,0.751,0.2825,0.2195,0.2215,10,mature,86,1.2525
I,0.57,0.45,0.135,0.794,0.3815,0.1415,0.245,8,mature,44,1.00843
F,0.57,0.46,0.135,0.9795,0.397,0.2525,0.2655,9,mature,57,0.967
M,0.57,0.435,0.17,0.873,0.382,0.183,0.2705,10,mature,25,1.26358
I,0.57,0.44,0.13,0.7665,0.347,0.1785,0.202,10,mature,14,-0.40804
M,0.57,0.435,0.125,0.8965,0.383,0.1835,0.275,9,mature,44,-1.79716
F,0.575,0.42,0.135,0.857,0.461,0.147,0.2125,10,mature,90,1.34751
F,0.575,0.48,0.165,1.078,0.511,0.2095,0.306,9,mature,77,-0.65889
M,0.575,0.46,0.155,0.892,0.4415,0.176,0.22,10,mature,12,0.77419
M,0.52282,0.46,0.13925,0.82543,0.6715,0.273,0.2955,10,mature,34,-0.40579
M,0.52282,0.455,0.13925,0.82543,0.405,0.167,0.204,10,mature,75,-0.20457
F,0.58,0.445,0.15,0.858,0.4,0.156,0.253,8,mature,9,0.45341
M,0.585,0.465,0.155,0.9145,0.4555,0.1965,0.235,9,mature,40,-0.7655
M,0.585,0.49,0.185,1.171,0.522,0.2535,0.335,10,mature,52,-0.34437
I,0.585,0.475,0.16,1.0505,0.48,0.234,0.285,10,mature,37,-0.74393
M,0.585,0.46,0.165,1.1135,0.5825,0.2345,0.274,10,mature,94,-1.67994
M,0.585,0.47,0.165,1.409,0.8,0.229,0.295,10,mature,75,-1.21037
M,0.585,0.475,0.15,1.065,0.5315,0.199,0.2885,10,mature,21,-0.08598
M,0.585,0.45,0.18,0.7995,0.336,0.1855,0.237,8,mature,48,-1.6964
I,0.59,0.445,0.135,0.7715,0.328,0.1745,0.23,9,mature,41,-1.46069
M,0.59,0.47,0.18,1.187,0.5985,0.227,0.31,9,mature,39,2.03596
M,0.59,0.455,0.155,0.8855,0.388,0.188,0.275,10,mature,67,0.08884
F,0.52282,0.465,0.13925,0.82543,0.4115,0.196,0.2255,10,mature,62,1.56017
F,0.595,0.465,0.155,1.026,0.4645,0.112,0.305,12,aged,89,-1.26395
M,0.6,0.475,0.17,1.1315,0.508,0.272,0.309,10,mature,38,-0.9081
M,0.6,0.48,0.155,1.014,0.451,0.1885,0.325,11,aged,50,1.77369
I,0.6,0.475,0.15,1.12,0.565,0.2465,0.27,10,mature,71,-1.46743
F,0.6,0.465,0.155,1.04,0.4755,0.25,0.28,11,aged,24,1.56772
F,0.6,0.455,0.145,0.8895,0.419,0.1715,0.269,10,mature,65,0.96535
M,0.6,0.46,0.155,0.9595,0.4455,0.189,0.295,11,aged,98,1.12886
I,0.605,0.485,0.15,1.238,0.6315,0.226,0.33,11,aged,2,-0.21807
M,0.605,0.49,0.14,0.9755,0.419,0.206,0.315,10,mature,54,-0.99725
I,0.605,0.435,0.13,0.9025,0.432,0.174,0.26,11,aged,17,0.37012
F,0.605,0.475,0.175,1.076,0.463,0.2195,0.335,9,mature,37,-0.59622
F,0.605,0.47,0.16,1.0835,0.5405,0.2215,0.275,12,aged,94,-1.77702
M,0.61,0.45,0.15,0.871,0.407,0.1835,0.25,10,mature,2,0.58598
M,0.61,0.48,0.165,1.244,0.6345,0.257,0.305,12,aged,82,-0.79608
M,0.61,0.475,0.17,1.0265,0.435,0.2335,0.3035,10,mature,37,0.0855
I,0.61,0.465,0.15,0.9605,0.4495,0.1725,0.286,9,mature,42,-1.00014
M,0.61,0.48,0.17,1.137,0.4565,0.29,0.347,10,mature,14,0.06795
M,0.61,0.46,0.16,1.0,0.494,0.197,0.275,10,mature,71,0.60089
F,0.615,0.475,0.155,1.004,0.4475,0.193,0.2895,10,mature,29,0.33898
M,0.615,0.47,0.165,1.128,0.4465,0.2195,0.34,10,mature,57,-1.86182
M,0.615,0.5,0.17,1.054,0.4845,0.228,0.295,10,mature,56,-0.92602
F,0.615,0.475,0.165,1.023,0.4905,0.1955,0.3035,12,aged,30,-0.00049
M,0.615,0.475,0.17,1.129,0.4795,0.302,0.3,10,mature,13,-0.60283
M,0.615,0.48,0.175,1.118,0.446,0.3195,0.3,9,mature,72,-1.54165
F,0.615,0.475,0.155,1.115,0.484,0.2115,0.355,10,mature,89,0.15448
M,0.62,0.51,0.175,1.2815,0.5715,0.2385,0.39,10,mature,84,-0.7772
M,0.52282,0.495,0.13925,0.82543,0.5765,0.254,0.355,12,aged,7,-0.25541
F,0.62,0.5,0.15,1.293,0.596,0.3135,0.354,10,mature,42,-0.73938
F,0.62,0.475,0.16,1.1295,0.463,0.2685,0.33,10,mature,26,-0.24991
M,0.625,0.455,0.17,1.082,0.4955,0.2345,0.315,9,mature,16,-1.20107
F,0.625,0.505,0.175,1.15,0.5475,0.256,0.3045,11,aged,41,-0.38443
F,0.625,0.515,0.16,1.264,0.5715,0.326,0.321,9,mature,87,-0.88822
F,0.625,0.48,0.155,1.2035,0.5865,0.239,0.3185,12,aged,54,-1.76676
